alpha,c,z0,z1,q,w,T,l,fpr,cache_cap,mbuf,cache_hit_rate,total_latency
0.05672866647819716,0.6490137955815192,0.33,0.33,0.33,0.01,2,4.829836018285681,0.013245768642821728,77155636.80000001,180029819.2,0.085499347676284,62296
0.06808866849692038,0.7795338169539451,0.33,0.01,0.33,0.01,2,4.822841064078121,0.02141584712068372,77530636.80000001,180904819.2,0.1213400681786342,45084
0.2649486459377197,3.000859891988321,0.01,0.01,0.01,0.97,9,1.6917885629151923,0.013245768642821728,35992714.9580796,221192741.0419204,0.0292599888382902,5675
0.2507028623943169,3.065196752079684,0.33,0.01,0.33,0.01,2,5.05925747440237,0.008192549468178961,102374182.4,153561273.6,0.1041044055755048,43291
0.020168602557464527,0.906631506032,0.25,0.25,0.25,0.25,7,1.8783425144346897,0.008192549468178961,28964864.431810617,226970591.56818935,0.4941561496619976,50225
0.0672704460179942,0.770160994181127,0.01,0.33,0.33,0.33,2,4.829836018285681,0.013245768642821728,77155636.80000001,180029819.2,0.0631459363537609,60198
0.06694063460046484,0.7663604047404364,0.01,0.49,0.49,0.01,2,6.0592574744023695,0.008192549468178961,179154819.2,76780636.80000001,0.1449228866749107,89748
0.07446761765012372,0.8532362688866691,0.01,0.01,0.97,0.01,8,1.7122367504552183,0.005067117552663319,2.827576572883572e-08,254685456.0,0.0,255931
0.4784223161251006,5.147698313852191,0.01,0.33,0.33,0.33,2,4.6442199751235265,0.008192549468178961,51187091.20000002,204748364.8,0.3777585398196779,37361
0.07446761765012372,0.8532362688866691,0.01,0.97,0.01,0.01,14,1.3679700863623898,0.013245768642821728,2.855332148499201e-08,257185456.0,0.0,53510
0.05724913126903009,0.6550210546742253,0.01,0.97,0.01,0.01,4,2.714445501429483,0.005067117552663319,76405636.80000001,178279819.2,0.0300725720697985,50133
0.1830058550615727,2.089019924634697,0.33,0.33,0.01,0.33,14,1.50682387528002,0.005067117552663319,76405636.80000001,178279819.2,0.1952077078505462,20181
0.18296747838306102,2.088502354744978,0.49,0.01,0.01,0.49,14,1.4506871293297432,0.02141584712068372,51687091.20000002,206748364.8,0.5127943427863235,5898
0.01875894189307656,0.8931841637506964,0.01,0.01,0.49,0.49,8,2.1978677009267304,0.008192549468178961,163159444.8769755,92776011.12302448,0.4573052987904376,80330
0.47973011624748196,5.1630746666857075,0.01,0.33,0.33,0.33,2,4.836865053065923,0.008192549468178961,76780636.80000001,179154819.2,0.3681855783010404,34215
0.18071212597221165,2.0626971991391074,0.01,0.49,0.49,0.01,2,6.066320923474256,0.005067117552663319,178279819.2,76405636.80000001,0.0755273488763801,102807
