alpha,c,z0,z1,q,w,T,l,fpr,cache_cap,mbuf,cache_hit_rate,total_latency
0.06736297898442037,0.7711832431283114,0.01,0.49,0.01,0.49,3,2.9844872308224857,0.013245768642821728,2.855332148499201e-08,257185456.0,0.0,39533
0.0571155081685898,0.6534559047255624,0.33,0.33,0.33,0.01,5,2.584216022262258,0.008192549468178961,127967728.0,127967728.0,0.1872928644691402,56804
0.1820689865101816,2.0782610051257686,0.01,0.97,0.01,0.01,16,1.3108360317312198,0.003134028105931708,2.8136987850757578e-08,253435456.0,0.0,42076
0.07446761765012372,0.8532362688866691,0.01,0.01,0.97,0.01,5,2.219003633290287,0.008192549468178961,25593545.600000024,230341910.4,0.2206840562084674,132063
0.05855683277627949,0.6700628257945274,0.33,0.01,0.33,0.01,2,5.658381626203722,0.003134028105931708,152061273.6,101374182.4,0.1784708015288476,51460
0.06403841822857026,0.7330312053631045,0.01,0.01,0.49,0.49,8,1.8590520519189502,0.008192549468178961,68256008.49937692,187679447.50062308,0.0536350184555846,86679
0.0672230299077991,0.7695568093226254,0.33,0.33,0.33,0.01,16,1.3417903950754828,0.02141584712068372,25843545.600000024,232591910.4,0.1478112783059657,63688
0.059282743131087286,0.6783773306613186,0.01,0.49,0.49,0.01,12,1.6329798148696,0.013245768642821728,94918456.97523248,162266999.02476752,0.2258004137363057,95145
0.18492164251582752,2.1108388522281634,0.01,0.01,0.97,0.01,6,2.0790075418928518,0.013245768642821728,51437091.20000002,205748364.8,0.2803764445392896,132396
0.06679979851387989,0.7647564922633571,0.49,0.01,0.01,0.49,16,1.3055383602661101,0.013245768642821728,2.855332148499201e-08,257185456.0,0.0,26676
0.47887795658578325,5.153044543181068,0.33,0.01,0.33,0.01,16,1.3895435049509828,0.005067117552663319,50937091.20000002,203748364.8,0.0899079757212541,47997
0.4080040807618107,4.493327091626939,0.01,0.01,0.49,0.49,2,4.768656920722433,0.008192549468178961,68107086.36637762,187828369.6336224,0.2302140987206602,68161
0.18355237089385654,2.0952756906912113,0.01,0.01,0.01,0.97,4,3.3256417120977066,0.005067117552663319,178279819.2,76405636.80000001,0.0029149337281036,28011
0.07446761765012372,0.8532362688866691,0.01,0.49,0.49,0.01,4,2.6110767205322203,0.013245768642821728,51437091.20000002,205748364.8,0.1896525101709252,85959
